date,population,admission,release
2023-02-16,125895.0652819388,2341.84461526205,2655.7021809385706
2023-02-17,125798.84163183726,2559.4785308370137,2430.2021809385715
2023-02-18,125790.3679817357,2421.7285308370137,1076.6307523671423
2023-02-19,126414.4657602056,1700.7285308370135,1103.1974190338087
2023-02-20,126749.8302053421,1438.5618641703466,1712.197419033809
2023-02-21,126912.19465047865,1874.5618641703466,2809.1974190338087
2023-02-22,126447.80909561519,2344.8118641703472,2574.5307523671427
2023-02-23,126059.25687408505,2185.9785308370137,2642.5307523671427
2023-02-24,125647.70465255491,2230.9785308370137,2461.130752367143
2023-02-25,125602.05243102479,2415.4785308370137,1062.7974190338089
2023-02-26,126157.06687616132,1617.8118641703466,1169.2974190338089
2023-02-27,126457.08132129788,1469.3118641703466,2782.297419033809
2023-02-28,125988.0957664344,2313.3118641703472,2662.797419033809
2023-03-01,125733.7768782376,2408.4785308370137,2663.797419033809
2023-03-02,125379.45799004081,2309.4785308370137,2695.797419033809
2023-03-03,125198.33910184397,2514.6785308370136,2374.797419033809
2023-03-04,125302.2202136472,2478.6785308370136,1076.7974190338089
2023-03-05,125889.76799211708,1665.0118641703464,1052.4640857004754
2023-03-06,126341.31577058695,1504.0118641703464,2696.464085700476
2023-03-07,125911.69688239016,2266.8451975036805,2580.297419033809
2023-03-08,125778.21132752672,2446.811864170347,2657.297419033809
2023-03-09,125654.22577266325,2532.8118641703472,2479.968150741127
2023-03-10,125357.76460804368,2185.490725958965,2420.4518905785244
2023-03-11,125306.30344342413,2368.990725958965,1129.4518905785244
2023-03-12,125944.84227880459,1767.9907259589645,1013.9518905785244
2023-03-13,126268.38111418502,1337.4907259589643,2580.0444831711175
2023-03-14,125813.02365326918,2124.687022255261,2589.3301974568312
2023-03-15,125573.47571616285,2349.282260350499,2552.3301974568312
2023-03-16,125288.4277790565,2267.782260350499,2363.830197456832
2023-03-17,125147.37984195017,2222.282260350499,2352.490197456831
2023-03-18,125154.33690484383,2359.447260350499,1040.490197456831
2023-03-19,125740.04396773753,1626.1972603504992,1054.801518211548
2023-03-20,125980.75103063116,1361.1972603504987,2630.490197456831
2023-03-21,125611.45809352488,2261.197260350499,2380.990197456832
2023-03-22,125507.16515641852,2277.447260350499,2591.740197456831
2023-03-23,125307.62221931218,2392.197260350499,2436.740197456831
2023-03-24,125313.07928220583,2442.1972603504987,2181.740197456831
2023-03-25,125557.03634509949,2424.197260350499,1094.4901974568313
2023-03-26,126220.99340799318,1758.4472603504992,1075.490197456831
2023-03-27,126635.95047088685,1490.4472603504987,2652.944742911377
2023-03-28,126135.4984428714,2153.4844504331436,2445.6323364367327
2023-03-29,126030.06416633527,2384.543622030777,2518.47789856691
2023-03-30,125711.12988979917,2208.543622030777,2448.47789856691
2023-03-31,125445.19561326303,2175.043622030777,2283.144565233577
2023-04-01,125443.09467006024,2281.043622030777,1134.1445652335765
2023-04-02,125970.4937268574,1660.7436220307768,1126.6445652335765
2023-04-03,126280.39278365462,1436.5436220307765,2855.17789856691
2023-04-04,125711.65850711848,2287.243622030777,2394.750111110464
2023-04-05,125688.11470677283,2390.1483839355387,2561.6921842811953
2023-04-06,125509.57090642717,2383.1483839355387,2578.6921842811953
2023-04-07,125349.27710608151,2418.3983839355387,1890.6921842811958
2023-04-08,125482.98330573586,2024.3983839355387,1023.3171842811958
2023-04-09,126020.86450539021,1561.1983839355387,1074.3171842811955
2023-04-10,126503.74570504455,1556.448383935539,2539.8171842811953
2023-04-11,126217.8769046989,2254.448383935539,2618.9838509478623
2023-04-12,125960.6747710199,2361.7817172688724,2542.4838509478623
2023-04-13,125725.07263734088,2306.881717268872,2537.9838509478623
2023-04-14,125646.47050366196,2459.381717268872,2306.8171842811953
2023-04-15,125847.20170331626,2507.548383935539,1062.3171842811958
2023-04-16,126529.43290297064,1743.6733839355388,1213.6921842811955
2023-04-17,126851.78910262494,1536.048383935539,2731.6921842811953
2023-04-18,126358.0453022793,2237.948383935539,2627.1921842811953
2023-04-19,126114.30150193362,2383.448383935539,2734.1921842811953
2023-04-20,125762.05770158794,2381.948383935539,2424.277550134854
2023-04-21,125565.85048660818,2228.070335155051,2258.277550134854
2023-04-22,125786.80993829505,2479.2370018217175,979.2775501348543
2023-04-23,126500.26938998188,1692.7370018217177,1066.2775501348542
2023-04-24,126867.22884166877,1433.2370018217177,2774.777550134854
2023-04-25,126333.02162668895,2240.570335155051,2405.8580099049695
2023-04-26,126294.36613584707,2368.1967719366603,2643.291656717926
2023-04-27,125929.49852379308,2283.8583880982765,2460.72600015227
2023-04-28,125879.83091173909,2411.058388098276,2287.22600015227
2023-04-29,126083.16329968513,2490.558388098276,1071.2260001522698
2023-04-30,126846.49568763112,1834.5583880982765,1154.72600015227
2023-05-01,127069.82807557713,1378.0583880982763,2883.22600015227
2023-05-02,126373.16046352312,2186.5583880982763,2593.348222374492
2023-05-03,126092.50396258027,2436.1472769871652,2410.8037779300475
2023-05-04,125893.84746163737,2212.1472769871657,2619.3037779300475
2023-05-05,125733.19096069448,2455.0917214316096,2314.8037779300475
2023-05-06,125971.53445975164,2553.1472769871657,1127.3037779300478
2023-05-07,126580.37795880873,1735.647276987165,1242.8037779300478
2023-05-08,126879.22145786586,1541.647276987165,2733.2614386319906
2023-05-09,126036.74850657352,2180.1239300860057,2464.5968813783234
2023-05-10,125944.27555528117,2374.1239300860057,2583.7854059684873
2023-05-11,125725.91735808726,2368.3780284466616,2469.236225640618
2023-05-12,125651.55916089329,2394.7113617799946,2330.2362256406186
2023-05-13,125663.20096369935,2341.3780284466616,1037.7362256406186
2023-05-14,126455.50943317203,1831.3780284466611,1065.9695589739517
2023-05-15,126820.21790264476,1430.6780284466608,2773.9695589739517
2023-05-16,126288.42637211746,2241.511361779995,2538.1362256406182
2023-05-17,126088.46817492349,2338.6780284466618,2633.1362256406182
2023-05-18,125734.00997772957,2278.6780284466618,2444.6362256406182
2023-05-19,125692.05178053558,2402.678028446662,2274.768693173086
2023-05-20,125803.19358334164,2395.8780284466616,1041.7362256406186
2023-05-21,126429.83538614771,1668.3780284466611,1103.0362256406186
2023-05-22,126899.37718895372,1572.5780284466612,2782.0362256406183
2023-05-23,126326.41899175977,2209.0780284466614,2537.0362256406183
2023-05-24,126047.4607945658,2258.0780284466614,2604.0362256406183
2023-05-25,125838.50259737184,2395.0780284466614,2597.1612256406183
2023-05-26,125635.5444001779,2395.0780284466614,2357.236225640618
2023-05-27,125731.68620298391,2453.378028446662,1055.2362256406184
2023-05-28,126386.32800578997,1710.3780284466611,1156.0695589739519
2023-05-29,126760.13647526268,1529.8780284466611,1060.0695589739519
2023-05-30,127254.4449447354,1554.3780284466611,2946.891781196174
2023-05-31,126762.5645253192,2454.0113617799952,2645.0584478628402
2023-06-01,126493.51743923637,2376.0113617799952,2583.0584478628402
2023-06-02,126395.47035315348,2484.1363617799952,2482.0584478628407
2023-06-03,126456.58993373736,2543.178028446662,1117.8084478628407
2023-06-04,127123.20951432116,1784.428028446661,1119.3084478628407
2023-06-05,127548.82909490498,1544.928028446661,2743.3084478628402
2023-06-06,127119.78200882213,2316.261361779995,2612.8084478628402
2023-06-07,127009.73492273927,2501.7613617799952,2731.8584478628404
2023-06-08,126709.98783665644,2432.722472891106,2443.1362256406182
2023-06-09,126699.1296394625,2432.2780284466617,2299.7862256406183
2023-06-10,126869.82144226854,2471.228028446662,1077.5362256406183
2023-06-11,127484.51324507457,1690.978028446661,1249.0362256406186
2023-06-12,127718.70504788059,1483.228028446661,2757.291781196174
2023-06-13,127242.15240624222,2281.6835840022172,2887.736225640618
2023-06-14,126824.34976460382,2470.4335840022172,1674.3041596719959
2023-06-15,126527.41631745017,1505.2687617961208,1627.015542283095
2023-06-16,126410.62287029655,1504.7220951294544,1085.658399425953
2023-06-17,126288.75799457148,1059.4363808437402,1078.3012565688098
